nic_classification,year,state,sector,indicator,nic_code,nic_description,nic_type,value,unit
2008,2023-24,All India,Combined,Net Profit,273,Manufacture of Wiring and Wiring Devices,3-digit,1259851,₹ lakhs
2008,2023-24,All India,Combined,Net Profit,303,Manufacture of Air and Spacecraft and Related Machinery,3-digit,1551,₹ lakhs
2008,2023-24,All India,Combined,Net Profit,30,Manufacture of Other Transport Equipment,2-digit,4312374,₹ lakhs
2008,2023-24,All India,Combined,Net Profit,27,Manufacture of Electrical Equipment,2-digit,5718763,₹ lakhs
2008,2023-24,All India,Combined,Net Profit,25,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",2-digit,2338453,₹ lakhs
2008,2023-24,All India,Combined,Net Profit,24,Manufacture of Basic Metals,2-digit,12551961,₹ lakhs
2008,2023-24,All India,Combined,Total Number of Persons Engaged,2733,Manufacture of Wiring Devices,4-digit,56944,-
2008,2023-24,All India,Combined,Total Number of Persons Engaged,271,"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus",3-digit,299335,-
2008,2023-24,All India,Combined,Total Number of Persons Engaged,259,Manufacture of Other Fabricated Metal Products; Metalworking Service Activities,3-digit,558344,-
2008,2023-24,All India,Combined,Total Number of Persons Engaged,251,"Manufacture of Structural Metal Products, Tanks, Reservoirs and Steam Generators",3-digit,265147,-
2008,2023-24,All India,Combined,Total Number of Persons Engaged,243,Casting of Metals,3-digit,354476,-
2008,2023-24,All India,Combined,Total Number of Persons Engaged,25,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",2-digit,831695,-
2008,2023-24,All India,Combined,Total Number of Persons Engaged,3030,Manufacture of Air and Spacecraft and Related Machinery,4-digit,36138,-
2008,2023-24,All India,Combined,Total Number of Persons Engaged,303,Manufacture of Air and Spacecraft and Related Machinery,3-digit,36138,-
2008,2023-24,All India,Combined,Total Number of Persons Engaged,2432,Casting of Non-ferrous Metals,4-digit,48333,-
2008,2023-24,All India,Combined,Total Number of Persons Engaged,24,Manufacture of Basic Metals,2-digit,1522861,-
2008,2023-24,All India,Combined,Total Number of Persons Engaged,273,Manufacture of Wiring and Wiring Devices,3-digit,188160,-
2008,2023-24,All India,Combined,Total Number of Persons Engaged,2511,Manufacture of Structural Metal Products,4-digit,171248,-
